"boot_iter","target_corr_kendall","dataset","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
6,-1,"ChickWeight_df","quantile_8","gaussian",0.0536332179930796,0.0294117647058824,0.0536332179930796,0.0294117647058823,0.301123869046905,1.76194210637644,0.712005098741202,0.134999548071589
7,-1,"ChickWeight_df","quantile_8","gaussian",0.0432525951557093,0.041522491349481,0.0432525951557093,0.041522491349481,0.174329410168302,2.01835666079988,0.77197556372525,0.137349668506435
8,-1,"ChickWeight_df","quantile_8","gaussian",0.0519031141868512,0.0259515570934256,0.0519031141868512,0.0259515570934256,0.186829260505342,1.77673479324561,0.969142651261399,0.137507294629764
9,-1,"ChickWeight_df","quantile_8","gaussian",0.0657439446366782,0.0709342560553633,0.0657439446366782,0.0709342560553633,0.737469219318093,0.680872674736491,1.12988237228226,0.137678249782821
10,-1,"ChickWeight_df","quantile_8","gaussian",0.0432525951557093,0.0121107266435986,0.0432525951557093,0.0121107266435986,0.130370405846035,1.13979917226406,0.949847535545832,0.136792036194463
1,-1,"diamonds_df","quantile_8","gaussian",0.0216000000000001,0.0182,0.0216,0.0182,0.877813786666653,0.426724746666655,0.0189085856182407,34.362046014866
2,-1,"diamonds_df","quantile_8","gaussian",0.0116000000000001,0.0174,0.0116,0.0174,1.14017626666667,0.215653946666666,0.0611407569633601,36.1959064471186
3,-1,"diamonds_df","quantile_8","gaussian",0.022,0.0156,0.022,0.0156,1.84565250666667,0.201788906666665,0.00867410229858464,34.2838978518971
4,-1,"diamonds_df","quantile_8","gaussian",0.0134000000000001,0.0128,0.0134,0.0128,1.47799386666667,0.134885546666666,0.0174199954824115,34.8055747492278
5,-1,"diamonds_df","quantile_8","gaussian",0.0174,0.014,0.0174,0.014,0.687458186666659,0.212311866666665,0.0531585599376568,33.3880106781308
6,-1,"diamonds_df","quantile_8","gaussian",0.0268,0.0144,0.0268,0.0144,3.2305595466667,0.158018346666667,0.0641259254414207,34.0746727296598
7,-1,"diamonds_df","quantile_8","gaussian",0.013,0.02,0.013,0.02,1.08667162666667,0.404335706666659,0.0613180236998272,35.0281349013701
8,-1,"diamonds_df","quantile_8","gaussian",0.025,0.0184,0.025,0.0184,1.15350850666667,0.531138906666667,0.0632853541548,32.6630309853367
9,-1,"diamonds_df","quantile_8","gaussian",0.0167999999999999,0.00980000000000003,0.0168,0.0098,0.853150106666671,0.0747426666666676,0.0625322446624521,34.5890388712218
10,-1,"diamonds_df","quantile_8","gaussian",0.02,0.0116,0.02,0.0116,0.912898266666665,0.107279066666667,0.0180099431258784,33.0280603283745
1,-1,"trees_df","quantile_8","t",0.161290322580645,0.161290322580645,0.161290322580645,0.161290322580645,0.195976413458203,0.162677766215748,0.0216343174386746,0.0379150794583424
2,-1,"trees_df","quantile_8","t",0.161290322580645,0.354838709677419,0.161290322580645,0.354838709677419,0.141866111689213,0.589316684009712,0.0152613307966362,0.0270740861114123
3,-1,"trees_df","quantile_8","t",0.258064516129032,0.161290322580645,0.258064516129032,0.161290322580645,0.524800554977454,0.160596600763094,0.0150612362869834,0.039322841448018
4,-1,"trees_df","quantile_8","t",0.161290322580645,0.161290322580645,0.161290322580645,0.161290322580645,0.212625737079431,0.127297953520638,0.0185460578427922,0.0264684114699028
5,-1,"trees_df","quantile_8","t",0.129032258064516,0.161290322580645,0.129032258064516,0.161290322580645,0.158515435310441,0.243843218869233,0.0131029540508665,0.0337771701006619
6,-1,"trees_df","quantile_8","t",0.129032258064516,0.161290322580645,0.129032258064516,0.161290322580645,0.0960804717308359,0.15851543531044,0.0152744792055332,0.0344635832950131
7,-1,"trees_df","quantile_8","t",0.0967741935483871,0.161290322580645,0.0967741935483871,0.161290322580645,0.0586194935830732,0.297953520638224,0.0152201516577987,0.0293624148821107
8,-1,"trees_df","quantile_8","t",0.161290322580645,0.290322580645161,0.161290322580645,0.290322580645161,0.220950398890045,0.674644467568505,0.0204108690791459,0.0276531627871988
9,-1,"trees_df","quantile_8","t",0.258064516129032,0.0967741935483871,0.258064516129032,0.0967741935483871,0.325008671522719,0.214706902532085,0.014925032280448,0.0267418364732472
10,-1,"trees_df","quantile_8","t",0.193548387096774,0.161290322580645,0.193548387096774,0.161290322580645,0.216788067984738,0.218869233437392,0.020488059719444,0.0326337431004419
1,-1,"mtcars_df","quantile_8","t",0.125,0.25,0.125,0.25,0.176432291666667,0.361979166666667,0.0457011209921985,0.334264351421374
2,-1,"mtcars_df","quantile_8","t",0.28125,0.28125,0.28125,0.28125,0.752604166666667,0.781901041666667,0.0341134450686501,0.558162149833591
3,-1,"mtcars_df","quantile_8","t",0.15625,0.1875,0.15625,0.1875,0.205729166666667,0.192057291666667,0.0313861866755011,0.319076432869302
4,-1,"mtcars_df","quantile_8","t",0.3125,0.21875,0.3125,0.21875,0.697916666666667,0.610026041666667,0.0400914374902922,0.310526650377327
