"","n","target_corr_kendall","distribution_1","distribution_2","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
"D...90",100,-1,"normal","mixture2","quantile_7","t",0.1172,0.08136,0.116730000000037,0.0810999999999953,0.273204538433333,0.0981271132333333,0.00582758491168046,0.0107988238845629
"D...91",100,-1,"normal","mixture2","quantile_8","gaussian",0.15162,0.10192,0.148009999999943,0.101279999999965,0.459918488033333,0.276148515433333,0.0128337975029133,0.00617647144325361
"D...92",100,-1,"normal","mixture2","quantile_8","t",0.16505,0.14557,0.166149999999972,0.145570000000082,0.801124692633334,0.755893299433333,0.0155377406990825,0.0070440974354485
"D...93",100,-1,"normal","mixture2","poly","gaussian",0.10767,0.1008,0.105660000000022,0.0965899999999767,0.271348248433333,0.184122952533333,0.00229269373240089,0.00675119689658692
"D...94",100,-1,"normal","mixture2","poly","t",0.16016,0.10505,0.160219999999938,0.103099999999978,0.788278964833333,0.141650678533333,0.00655831730633124,0.00495345925010074
"D...95",100,-1,"normal","mixture2","akima","gaussian",0.07939,0.14124,0.0799799999999847,0.141450000000016,0.114086892533333,0.471178798133333,0.00844541511883618,0.00820513869792766
"D...96",100,-1,"normal","mixture2","akima","t",0.09413,0.11975,0.0967999999999955,0.119369999999989,0.178041339133333,0.142573712933333,0.0096025856000901,0.0211109542967226
"D...97",100,-1,"exponential","normal","quantile_1","gaussian",0.22485,0.09826,0.22901999999986,0.0966799999999529,1.44596331103333,0.144831541033333,0.0557491495029558,0.0464940524413189
"D...98",100,-1,"exponential","normal","quantile_1","t",0.09661,0.12128,0.0997100000000554,0.12079,0.259564217433333,0.184041595733333,0.0417765540775437,0.027080542415075
"D...99",100,-1,"exponential","normal","quantile_4","gaussian",0.06538,0.13382,0.066180000000007,0.135960000000025,0.0566323688333333,0.314482574333333,0.00600237470968568,0.00817716111533091
"D...100",100,-1,"exponential","normal","quantile_4","t",0.08309,0.15443,0.0841600000000115,0.155480000000022,0.0949467958333333,0.829979637633334,0.0122884928835717,0.00983264741801049
"D...101",100,-1,"exponential","normal","quantile_7","gaussian",0.06505,0.10542,0.065599999999946,0.106869999999935,0.0719861925333333,0.210318519633333,0.0187812426454962,0.0149590994567322
"D...102",100,-1,"exponential","normal","quantile_7","t",0.12111,0.09092,0.122239999999966,0.0909499999999888,0.291031234033333,0.147743318933333,0.00669235976571897,0.0100296703913371
"D...103",100,-1,"exponential","normal","quantile_8","gaussian",0.09191,0.14413,0.0926199999999362,0.140419999999978,0.205080392233333,0.325777506933333,0.00580169030019587,0.0062432011366092
"D...104",100,-1,"exponential","normal","quantile_8","t",0.07016,0.07964,0.07199000000001,0.0820599999999691,0.0813695512333333,0.0861840389333333,0.013616714573859,0.0111806759841655
