"boot_iter","target_corr_kendall","dataset","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
7,-0.4,"iris_df","akima","gaussian",0.12,0.153333333333333,0.12,0.153333333333333,0.274488888888889,0.581511111111111,0.00298601405803523,0.00414932336332716
8,-0.4,"iris_df","akima","gaussian",0.0933333333333333,0.14,0.0933333333333333,0.14,0.242133333333333,0.294044444444444,0.00377995753532027,0.00405888925975993
9,-0.4,"iris_df","akima","gaussian",0.153333333333333,0.16,0.153333333333333,0.16,0.998755555555556,0.551733333333334,0.00502258456694599,0.0018879132720422
10,-0.4,"iris_df","akima","gaussian",0.0733333333333334,0.16,0.0733333333333333,0.16,0.0758222222222222,0.433333333333333,0.00366567359415591,0.00293875044404999
1,-0.4,"airquality_df","akima","gaussian",0.0990990990990991,0.207207207207207,0.0990990990990991,0.207207207207207,0.123772421069718,1.2051781511241,0.296504086430104,0.0395128925474224
2,-0.4,"airquality_df","akima","gaussian",0.0630630630630631,0.153153153153153,0.0630630630630631,0.153153153153153,0.0479668858047237,0.387549711874036,0.239372590751684,0.0419791686126003
3,-0.4,"airquality_df","akima","gaussian",0.0720720720720721,0.117117117117117,0.0720720720720721,0.117117117117117,0.104618131645159,0.305900495089684,0.150338178115212,0.0194874729846358
4,-0.4,"airquality_df","akima","gaussian",0.0810810810810811,0.144144144144144,0.0810810810810811,0.144144144144144,0.125882639396153,0.444200957714471,0.243189949563158,0.034704535300604
5,-0.4,"airquality_df","akima","gaussian",0.108108108108108,0.162162162162162,0.108108108108108,0.162162162162162,0.171982793604415,0.661715769823878,0.261666796403405,0.0236950474814494
6,-0.4,"airquality_df","akima","gaussian",0.162162162162162,0.225225225225225,0.162162162162162,0.225225225225225,0.488840191542894,1.16037659280903,0.441667135251331,0.030430048064039
7,-0.4,"airquality_df","akima","gaussian",0.045045045045045,0.171171171171171,0.045045045045045,0.171171171171171,0.0364418472526581,0.36920704488272,0.429665022891722,0.0275505258089251
8,-0.4,"airquality_df","akima","gaussian",0.144144144144144,0.126126126126126,0.144144144144144,0.126126126126126,0.683467251034818,0.301193084976869,0.524604141294989,0.030838888206682
9,-0.4,"airquality_df","akima","gaussian",0.0900900900900901,0.108108108108108,0.0900900900900901,0.108108108108108,0.0994237480723967,0.146010875740606,0.404406493925745,0.0315846750778152
10,-0.4,"airquality_df","akima","gaussian",0.117117117117117,0.117117117117117,0.117117117117117,0.117117117117117,0.194058923788654,0.316289262235208,0.411504401863615,0.0311994880186727
1,-0.4,"faithful_df","akima","gaussian",0.0661764705882352,0.110294117647059,0.0661764705882353,0.110294117647059,0.196267661476355,0.711541234140715,0.00638100077663413,0.0749276173231272
2,-0.4,"faithful_df","akima","gaussian",0.0735294117647059,0.113970588235294,0.0735294117647059,0.113970588235294,0.192807453863899,0.435535611303345,0.00782351244344929,0.0568581196432063
3,-0.4,"faithful_df","akima","gaussian",0.0514705882352941,0.0808823529411765,0.0514705882352941,0.0808823529411765,0.090947592272203,0.187833405420992,0.00738078602515688,0.0950689125130714
4,-0.4,"faithful_df","akima","gaussian",0.0625,0.0514705882352942,0.0625,0.0514705882352941,0.160016580161476,0.135389633794694,0.0117404753182621,0.062415134241341
5,-0.4,"faithful_df","akima","gaussian",0.154411764705882,0.0808823529411765,0.154411764705882,0.0808823529411765,2.15623197808535,0.222192185697809,0.00843119361904669,0.0776030902034189
6,-0.4,"faithful_df","akima","gaussian",0.0588235294117647,0.0588235294117646,0.0588235294117647,0.0588235294117647,0.109032583621684,0.148095083621684,0.00633754884593426,0.0757965578091091
7,-0.4,"faithful_df","akima","gaussian",0.088235294117647,0.102941176470588,0.0882352941176471,0.102941176470588,0.48724949538639,0.542856113033448,0.00613063346324132,0.060383560328297
8,-0.4,"faithful_df","akima","gaussian",0.128676470588235,0.0735294117647058,0.128676470588235,0.0735294117647059,0.909340758362169,0.209675965974625,0.00716809016328333,0.0584704987556783
9,-0.4,"faithful_df","akima","gaussian",0.088235294117647,0.0992647058823529,0.0882352941176471,0.099264705882353,0.639823024798154,0.495900014417532,0.0064751078715785,0.0654272144273002
10,-0.4,"faithful_df","akima","gaussian",0.0661764705882353,0.102941176470588,0.0661764705882353,0.102941176470588,0.187319780853518,0.761660178777393,0.00584275207464741,0.0715511160529376
1,-0.4,"ChickWeight_df","akima","gaussian",0.0761245674740484,0.0778546712802768,0.0761245674740484,0.0778546712802768,0.665852500169618,0.569140296053288,0.982049621869836,0.00602177225901057
2,-0.4,"ChickWeight_df","akima","gaussian",0.0449826989619376,0.0916955017301038,0.0449826989619377,0.0916955017301038,0.226585728938431,1.03296376559987,0.758347008883816,0.00535260839043722
3,-0.4,"ChickWeight_df","akima","gaussian",0.0570934256055363,0.143598615916955,0.0570934256055363,0.143598615916955,0.53535238642577,3.70810534675911,0.700312973336315,0.00529222283371241
4,-0.4,"ChickWeight_df","akima","gaussian",0.0588235294117647,0.105536332179931,0.0588235294117647,0.105536332179931,0.540746239468717,1.17339551330404,0.900389399547856,0.00384947517670835
5,-0.4,"ChickWeight_df","akima","gaussian",0.0294117647058824,0.131487889273356,0.0294117647058823,0.131487889273356,0.051569864664775,2.36846621408588,0.910088372118091,0.00456214213831828
6,-0.4,"ChickWeight_df","akima","gaussian",0.0570934256055363,0.115916955017301,0.0570934256055363,0.115916955017301,0.225633872519088,2.29426930552396,0.565549028175924,0.00335567845371062
7,-0.4,"ChickWeight_df","akima","gaussian",0.0415224913494809,0.0986159169550173,0.041522491349481,0.0986159169550172,0.103538830553593,1.21010484389156,0.829816996573409,0.00616024057384442
8,-0.4,"ChickWeight_df","akima","gaussian",0.0536332179930796,0.169550173010381,0.0536332179930796,0.169550173010381,0.326452828230824,5.30614655795149,0.752778590057917,0.00787601255995703
9,-0.4,"ChickWeight_df","akima","gaussian",0.0588235294117647,0.0986159169550173,0.0588235294117647,0.0986159169550172,0.314898847794765,1.32942214133771,0.673270276129116,0.00507852398035427
10,-0.4,"ChickWeight_df","akima","gaussian",0.0467128027681661,0.102076124567474,0.0467128027681661,0.102076124567474,0.342335061441632,0.821789330427875,0.852326568167523,0.00516093387569725
1,-0.4,"diamonds_df","akima","gaussian",0.045,0.0148,0.0449999999999998,0.0148,0.978700906666666,0.166714506666667,0.00854108737629595,34.639325897342
2,-0.4,"diamonds_df","akima","gaussian",0.0431999999999999,0.0186,0.0431999999999998,0.0186,0.627326026666667,0.344331146666659,0.0673066997235855,32.8493905437651
3,-0.4,"diamonds_df","akima","gaussian",0.05,0.0196,0.0499999999999998,0.0196,1.02628618666666,0.48850890666666,0.0624359544766854,33.451309136376
4,-0.4,"diamonds_df","akima","gaussian",0.0539999999999999,0.0122,0.0539999999999998,0.0122,1.84777530666669,0.139313946666666,0.0617507596378722,33.1159450185132
5,-0.4,"diamonds_df","akima","gaussian",0.0528,0.0178,0.0527999999999998,0.0178,2.04483314666669,0.35556362666666,0.0163800266849087,33.4786318056368
6,-0.4,"diamonds_df","akima","gaussian",0.0402,0.0148,0.0401999999999999,0.0148,0.620276106666662,0.150808906666667,0.0193030417361998,35.4622423510184
7,-0.4,"diamonds_df","akima","gaussian",0.0636,0.037,0.0635999999999998,0.0369999999999999,2.28705906666665,1.39140202666668,0.00781795389835491,32.9873657610163
8,-0.4,"diamonds_df","akima","gaussian",0.0542,0.0148,0.0541999999999998,0.0148,2.15080058666667,0.183944746666666,0.0624317317323125,32.6562415747849
9,-0.4,"diamonds_df","akima","gaussian",0.0492,0.018,0.0491999999999998,0.018,1.18290386666665,0.256679546666664,0.0609173054497108,36.2843902394732
10,-0.4,"diamonds_df","akima","gaussian",0.0579999999999999,0.0108,0.0579999999999998,0.0108,1.27994946666667,0.065175066666667,0.0634650859099659,33.6689940793042
1,-0.4,"trees_df","akima","t",0.161290322580645,0.32258064516129,0.161290322580645,0.32258064516129,0.171002428026361,0.56434269857787,0.0144013187204749,0.0141331990396307
2,-0.4,"trees_df","akima","t",0.193548387096774,0.32258064516129,0.193548387096774,0.32258064516129,0.377037807839056,0.499826569545612,0.016233850177803,0.0293464989646651
3,-0.4,"trees_df","akima","t",0.129032258064516,0.161290322580645,0.129032258064516,0.161290322580645,0.0648629899410336,0.189732917100243,0.0419266535303588,0.0270388627518257
4,-0.4,"trees_df","akima","t",0.32258064516129,0.290322580645161,0.32258064516129,0.290322580645161,0.543531044051335,0.707943114810961,0.0232335956140855,0.0292940842884423
5,-0.4,"trees_df","akima","t",0.290322580645161,0.225806451612903,0.290322580645161,0.225806451612903,0.608047173083594,0.291710024280264,0.0149103910390743,0.021773101690746
6,-0.4,"trees_df","akima","t",0.193548387096774,0.193548387096774,0.193548387096774,0.193548387096774,0.256330211585154,0.141866111689213,0.0220097760152365,0.017685906048272
7,-0.4,"trees_df","akima","t",0.193548387096774,0.354838709677419,0.193548387096774,0.354838709677419,0.185570586194936,1.06174124176205,0.0247629694211141,0.0412594184745416
8,-0.4,"trees_df","akima","t",0.290322580645161,0.290322580645161,0.290322580645161,0.290322580645161,0.662157474852584,0.685050294831772,0.0117967688876461,0.0307412934601618
9,-0.4,"trees_df","akima","t",0.32258064516129,0.161290322580645,0.32258064516129,0.161290322580645,0.751647589316684,0.123135622615331,0.0227016368628717,0.0487053800082542
10,-0.4,"trees_df","akima","t",0.161290322580645,0.161290322580645,0.161290322580645,0.161290322580645,0.162677766215748,0.206382240721471,0.0126345093329993,0.0225948143416029
1,-0.4,"mtcars_df","akima","t",0.25,0.21875,0.25,0.21875,0.442057291666667,0.258463541666667,0.0358895001661918,0.527917853599566
2,-0.4,"mtcars_df","akima","t",0.25,0.1875,0.25,0.1875,0.588541666666667,0.152994791666667,0.0997088796966483,0.478436303518716
3,-0.4,"mtcars_df","akima","t",0.15625,0.15625,0.15625,0.15625,0.219401041666667,0.154947916666667,0.0241313160940978,0.617742917676589
4,-0.4,"mtcars_df","akima","t",0.1875,0.1875,0.1875,0.1875,0.262369791666667,0.319010416666667,0.0526446006486672,0.215599728025466
5,-0.4,"mtcars_df","akima","t",0.09375,0.15625,0.09375,0.15625,0.0553385416666667,0.143229166666667,0.0430454069618743,0.388824915070598
6,-0.4,"mtcars_df","akima","t",0.1875,0.15625,0.1875,0.15625,0.248697916666667,0.119791666666667,0.0614134324910914,0.369063448954697
7,-0.4,"mtcars_df","akima","t",0.15625,0.28125,0.15625,0.28125,0.131510416666667,0.830729166666667,0.0175096795512076,0.554985205422898
8,-0.4,"mtcars_df","akima","t",0.1875,0.28125,0.1875,0.28125,0.219401041666667,0.621744791666667,0.0581323976628502,0.470668009645453
9,-0.4,"mtcars_df","akima","t",0.15625,0.25,0.15625,0.25,0.141276041666667,0.367838541666667,0.0369864424712574,0.497703814980531
10,-0.4,"mtcars_df","akima","t",0.28125,0.15625,0.28125,0.15625,0.338541666666667,0.152994791666667,0.363545111275117,0.294207173483892
1,-0.4,"swiss_df","akima","t",0.170212765957447,0.148936170212766,0.170212765957447,0.148936170212766,0.288667572053719,0.26241134751773,0.234555551525213,0.13143014097581
2,-0.4,"swiss_df","akima","t",0.234042553191489,0.170212765957447,0.234042553191489,0.170212765957447,0.457069563905236,0.250641315829184,0.156340598280506,0.0786914722676103
3,-0.4,"swiss_df","akima","t",0.191489361702128,0.170212765957447,0.191489361702128,0.170212765957447,0.238871284140637,0.261505960464765,0.0670968334408328,0.0931865875949891
4,-0.4,"swiss_df","akima","t",0.148936170212766,0.212765957446809,0.148936170212766,0.212765957446809,0.184548060962728,0.486041949600121,0.170645992272079,0.131812157999866
5,-0.4,"swiss_df","akima","t",0.106382978723404,0.0851063829787234,0.106382978723404,0.0851063829787234,0.0831447110306323,0.0722800663950506,0.0700028145588159,0.226725558085888
6,-0.4,"swiss_df","akima","t",0.212765957446809,0.170212765957447,0.212765957446809,0.170212765957447,0.497811981288667,0.196318092651275,0.175568617844856,0.16382146573905
7,-0.4,"swiss_df","akima","t",0.148936170212766,0.170212765957447,0.148936170212766,0.170212765957447,0.275086766259242,0.216236607816508,0.101942604307964,0.140294528368309
