"","target_corr_kendall","dataset","inv_cdf_type","s1","s2","tv1","tv2"
"1173",0.6,"swiss_df","poly",0.0795534941738125,0.0679493941891068,0.319148936170213,0.191489361702128
"1174",0.6,"rock_df","poly",17.1885430373248,4.40359911891315,0.208333333333333,0.166666666666667
"1175",0.6,"USArrests_df","poly",0.0237844651935668,0.299654627060189,0.12,0.1
"1176",0.6,"iris_df","poly",0.00225250491154966,0.00134970988119801,0.106666666666667,0.193333333333333
"1177",0.6,"airquality_df","poly",0.0971174898665794,0.0248701601238203,0.0900900900900902,0.189189189189189
"1178",0.6,"faithful_df","poly",0.00363356441605196,0.034698617275199,0.128676470588235,0.110294117647059
"1179",0.6,"ChickWeight_df","poly",0.38952296976957,0.0565689530624351,0.0432525951557093,0.107266435986159
"1180",0.6,"diamonds_df","poly",0.00452214794896133,26.4975168054892,0.0506,0.032
"1181",0.6,"trees_df","akima",0.00870053811270742,0.0255797215025918,0.290322580645161,0.258064516129032
"1182",0.6,"mtcars_df","akima",0.0431774366516117,0.250016491684805,0.25,0.34375
"1183",0.6,"swiss_df","akima",0.136903175121933,0.198686786884085,0.170212765957447,0.0851063829787234
"1184",0.6,"rock_df","akima",30.4962491665605,4.68526975507041,0.104166666666667,0.125
"1185",0.6,"USArrests_df","akima",0.0178092081764555,0.425991788974342,0.2,0.22
"1186",0.6,"iris_df","akima",0.00423516452063601,0.00511579192338696,0.12,0.22
"1187",0.6,"airquality_df","akima",0.207710379663314,0.0480300153122301,0.108108108108108,0.108108108108108
"1188",0.6,"faithful_df","akima",0.00740894601452113,0.105213476023908,0.0698529411764707,0.154411764705882
"1189",0.6,"ChickWeight_df","akima",0.83412395856111,0.00795854710224766,0.0674740484429066,0.103806228373702
"1190",0.6,"diamonds_df","akima",0.035627645186847,30.6052306721827,0.0528,0.0168
"1191",0.7,"trees_df","quantile_1",0.099455186993899,0.203957625357324,0.193548387096774,0.225806451612903
"1192",0.7,"mtcars_df","quantile_1",0.231958631679913,3.42020349984572,0.25,0.25
"1193",0.7,"swiss_df","quantile_1",0.5226166839459,0.60769058324051,0.170212765957447,0.106382978723404
"1194",0.7,"rock_df","quantile_1",91.7286618014949,38.8465917359396,0.166666666666667,0.104166666666667
"1195",0.7,"USArrests_df","quantile_1",0.123312967085292,2.3370010265824,0.14,0.2
"1196",0.7,"iris_df","quantile_1",0.0221225505517393,0.0150345489093422,0.0333333333333333,0.0933333333333333
"1197",0.7,"airquality_df","quantile_1",2.34693273521085,0.138785321896773,0.135135135135135,0.126126126126126
"1198",0.7,"faithful_df","quantile_1",0.0183633017218773,0.241895479996797,0.0404411764705883,0.0404411764705882
"1199",0.7,"ChickWeight_df","quantile_1",1.27498372512397,0.201593249477826,0.0588235294117647,0.027681660899654
"1200",0.7,"diamonds_df","quantile_1",0.017450942585447,31.8518304691347,0.0234,0.0186
"1201",0.7,"trees_df","quantile_4",0.0231138467040166,0.0350209901216486,0.258064516129032,0.193548387096774
"1202",0.7,"mtcars_df","quantile_4",0.0334364378149665,0.473698619403698,0.21875,0.15625
"1203",0.7,"swiss_df","quantile_4",0.0969285621874703,0.130324785709785,0.148936170212766,0.127659574468085
"1204",0.7,"rock_df","quantile_4",19.8267967651033,8.1289039278529,0.125,0.104166666666667
"1205",0.7,"USArrests_df","quantile_4",0.0201743984095437,0.415250940459329,0.3,0.26
"1206",0.7,"iris_df","quantile_4",0.00669197626731318,0.00546245958577803,0.0466666666666667,0.0866666666666667
"1207",0.7,"airquality_df","quantile_4",0.42228974558996,0.0475518560593175,0.108108108108108,0.0810810810810811
"1208",0.7,"faithful_df","quantile_4",0.00785371516805365,0.113005953630934,0.0661764705882353,0.051470588235294
"1209",0.7,"ChickWeight_df","quantile_4",0.860961237350516,0.135998219186504,0.0380622837370242,0.0207612456747405
"1210",0.7,"diamonds_df","quantile_4",0.0358792806824481,33.155288191314,0.016,0.0214
"1211",0.7,"trees_df","quantile_7",0.0139756990682975,0.0357363956914005,0.290322580645161,0.161290322580645
