"","target_corr_kendall","dataset","inv_cdf_type","s1","s2"
"836",0.1,"iris_df","akima",0.00493328061091718,0.00361795356069834
"837",0.1,"airquality_df","akima",0.320233253297534,0.0281818604655542
"838",0.1,"faithful_df","akima",0.00535655455557391,0.0642030186567417
"839",0.1,"ChickWeight_df","akima",0.855479219927486,0.00598575353499551
"840",0.1,"diamonds_df","akima",0.0485426895546206,30.9526240862528
"841",0.2,"trees_df","quantile_1",0.154413545201641,0.231366558500156
"842",0.2,"mtcars_df","quantile_1",0.193338004522675,3.27013515994752
"843",0.2,"swiss_df","quantile_1",0.528184056210437,0.630161468372763
"844",0.2,"rock_df","quantile_1",108.219105789243,41.5371436500511
"845",0.2,"USArrests_df","quantile_1",0.116631391308484,2.21731450585758
"846",0.2,"iris_df","quantile_1",0.0230105932829838,0.0159895743574186
"847",0.2,"airquality_df","quantile_1",1.64879353568897,0.121299593349928
"848",0.2,"faithful_df","quantile_1",0.0165557822403208,0.246410293335976
"849",0.2,"ChickWeight_df","quantile_1",1.19627520284175,0.201593249477825
"850",0.2,"diamonds_df","quantile_1",0.0452246095105922,34.6899772090912
"851",0.2,"trees_df","quantile_4",0.0191068154585222,0.0318987623354576
"852",0.2,"mtcars_df","quantile_4",0.0378310608306303,0.502428594231671
"853",0.2,"swiss_df","quantile_4",0.0647879003298567,0.117111492427327
"854",0.2,"rock_df","quantile_4",18.2097334244846,7.49658680268936
"855",0.2,"USArrests_df","quantile_4",0.0249189770684386,0.460990323301199
"856",0.2,"iris_df","quantile_4",0.00730994762411257,0.0065922434339546
"857",0.2,"airquality_df","quantile_4",0.213796715804981,0.0501499753743718
"858",0.2,"faithful_df","quantile_4",0.00897853950299254,0.11832916455288
"859",0.2,"ChickWeight_df","quantile_4",0.720459525190861,0.134563833179233
"860",0.2,"diamonds_df","quantile_4",0.0233849838590218,34.5464060075172
"861",0.2,"trees_df","quantile_7",0.0187981006544986,0.0341813930526929
"862",0.2,"mtcars_df","quantile_7",0.032772476452403,0.270626348375607
"863",0.2,"swiss_df","quantile_7",0.0860366452191469,0.110070379578845
"864",0.2,"rock_df","quantile_7",19.2653995475598,7.66212435969168
"865",0.2,"USArrests_df","quantile_7",0.0216295462465733,0.508598909313925
"866",0.2,"iris_df","quantile_7",0.00727031123960115,0.00611883924028944
"867",0.2,"airquality_df","quantile_7",0.512278613539087,0.0376185698056591
"868",0.2,"faithful_df","quantile_7",0.00762241230976362,0.11953336559056
"869",0.2,"ChickWeight_df","quantile_7",0.911913546888954,0.136882033585461
"870",0.2,"diamonds_df","quantile_7",0.0450675210263527,33.4142542442878
"871",0.2,"trees_df","quantile_8",0.0196686219006921,0.0344758329611048
"872",0.2,"mtcars_df","quantile_8",0.0540310485152762,0.396820572557514
"873",0.2,"swiss_df","quantile_8",0.0959612076962018,0.136255310392829
"874",0.2,"rock_df","quantile_8",17.8095687843492,9.31937032773841
"875",0.2,"USArrests_df","quantile_8",0.0217897310895739,0.415143203577429
"876",0.2,"iris_df","quantile_8",0.00768072547158096,0.00488004808782965
"877",0.2,"airquality_df","quantile_8",0.550535771297098,0.045335910907015
"878",0.2,"faithful_df","quantile_8",0.00887100749932399,0.112329848726513
"879",0.2,"ChickWeight_df","quantile_8",0.872648639157458,0.13757976979924
"880",0.2,"diamonds_df","quantile_8",0.0449168821972059,34.221658537016
"881",0.2,"trees_df","linear",0.0170711256091163,0.0361424202031689
"882",0.2,"mtcars_df","linear",0.0291911111682019,0.240244323298509
"883",0.2,"swiss_df","linear",0.0584778506182409,0.0945170802546803
"884",0.2,"rock_df","linear",12.0544710660396,6.18287889786722
"885",0.2,"USArrests_df","linear",0.0135167985813361,0.323546675219723
"886",0.2,"iris_df","linear",0.00343697057585705,0.00416964173934494
"887",0.2,"airquality_df","linear",0.294666106394974,0.0385042689124101
"888",0.2,"faithful_df","linear",0.0105707197936792,0.0472171063245054
"889",0.2,"ChickWeight_df","linear",0.681766971624513,0.0074225843429752
"890",0.2,"diamonds_df","linear",0.0224580898856607,32.7561432054339
"891",0.2,"trees_df","poly",0.0135024429338761,0.200871343330701
"892",0.2,"mtcars_df","poly",0.68353399065866,5.59967448656275
"893",0.2,"swiss_df","poly",0.145871909396947,0.234348967506535
"894",0.2,"rock_df","poly",14.123213704195,4.64012008533593
"895",0.2,"USArrests_df","poly",0.0154069620919019,0.311457898710199
"896",0.2,"iris_df","poly",0.00172954765088988,0.00197698894155674
